
",
TypeScript,Programming Languages,"leetcode frontend (https://www.notion.so/f679f9c00eea40638ddd67b3da6bf4a7?pvs=21) ",JavaScript 的超集，增加了静态类型检查，帮助开发人员在编写代码时发现潜在的错误，提高了代码的可靠性和可维护性。,
React,,"leetcode frontend (https://www.notion.so/f679f9c00eea40638ddd67b3da6bf4a7?pvs=21) ",一个用于构建用户界面的 JavaScript 库。React 通过其组件化设计和虚拟 DOM 技术，使得构建复杂的单页面应用程序（SPA）变得更加高效。,
CSS3,Frontend Development,"leetcode frontend (https://www.notion.so/f679f9c00eea40638ddd67b3da6bf4a7?pvs=21) ","Bootstrap：CSS Framework提供丰富的UI组件和强大的响应式网格系统，通过引入CDN链接或下载文件快速使用。
Provides a wealth of UI components and a powerful responsive grid system, quickly used by linking CDN or downloading files.Tailwind CSS：基于实用类的CSS框架，灵活性高，通过引入CDN链接或配置PostCSS工具使用。
A utility-first CSS framework with high flexibility, used by linking CDN or configuring PostCSS tools.
Sass：一种增强版的CSS预处理器，提供嵌套规则、变量和混合等功能，通过编译成标准CSS使用。An enhanced CSS preprocessor offering features like nested rules, variables, and mixins, used by compiling into standard CSS.",
HTML5,Frontend Development,"leetcode frontend (https://www.notion.so/f679f9c00eea40638ddd67b3da6bf4a7?pvs=21) ",(HyperText Markup Language),
redux,Frontend Development,"leetcode frontend (https://www.notion.so/f679f9c00eea40638ddd67b3da6bf4a7?pvs=21) ","For complex applications, I use state management tools like Redux to manage the application's state. This ensures that data is consistently passed and updated across different parts of the application.",
webpack,"Frontend Development, Performance Optimization","leetcode frontend (https://www.notion.so/f679f9c00eea40638ddd67b3da6bf4a7?pvs=21) ",,
express.js,Backend Development,,,
graphql,"Backend Development, Data APIS",,,
nginx,"Backend Development, Performance Optimization",,,
node.js,Backend Development,,,
tensorflow,"AI/ML, Algorithms Framework, Jupyter Notebook/ Google Colab",,https://www.tensorflow.org/ is an open source platform for machine learning,
pytorch,"AI/ML, Algorithms Framework, Jupyter Notebook/ Google Colab",,,
scikit_learn,AI/ML,,,
opencv,AI/ML,,,
